# Program:featureCounts v1.6.3; Command:"featureCounts" "-a" "../SDv2.2_Genes.gff" "-F" "GFF" "-t" "mRNA" "-g" "Parent" "-s" "1" "-o" "counts/3.5-4.txt" "starmapping/3.5-4_S21Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	starmapping/3.5-4_S21Aligned.sortedByCoord.out.bam
TCAL_10049	Chromosome_6	11684220	11695986	-	11767	3685
TCAL_10048	Chromosome_6	11705249	11707273	+	2025	85
TCAL_09832	Chromosome_6	1130824	1139317	+	8494	19
TCAL_09833	Chromosome_6	1140301	1149768	+	9468	51
TCAL_09830	Chromosome_6	1118387	1122725	-	4339	1
TCAL_09831	Chromosome_6	1123945	1126200	-	2256	1
TCAL_09837	Chromosome_6	1194286	1197326	-	3041	25
TCAL_09838	Chromosome_6	1207488	1208294	-	807	2
TCAL_12771	Chromosome_6	12356772	12373522	-	16751	332
TCAL_12770	Chromosome_6	12344992	12373745	+	28754	61
TCAL_12773	Chromosome_6	12385414	12395101	+	9688	4
TCAL_12772	Chromosome_6	12378014	12383739	-	5726	434
TCAL_12809	Chromosome_6	13203763	13204560	+	798	0
TCAL_12808	Chromosome_6	13187517	13194242	-	6726	1
TCAL_16072	Chromosome_6	1606362	1608536	+	2175	35
TCAL_16073	Chromosome_6	1721212	1722464	-	1253	9
TCAL_16070	Chromosome_6	15042342	15043680	+	1339	980
TCAL_16071	Chromosome_6	1590286	1592705	+	2420	0
TCAL_16076	Chromosome_6	237018	238402	+	1385	7
TCAL_16077	Chromosome_6	237120	238673	-	1554	19
TCAL_16074	Chromosome_6	1854798	1856315	-	1518	53
TCAL_16075	Chromosome_6	1909346	1910390	+	1045	1
TCAL_17039	Chromosome_6	10056830	10098996	+	42167	5692
TCAL_05788	Chromosome_6	3391577	3400271	-	8695	34
TCAL_05787	Chromosome_6	3389186	3390629	-	1444	0
TCAL_07067	Chromosome_6	11885358	11891840	-	6483	572
TCAL_07066	Chromosome_6	11895856	11898580	+	2725	1402
TCAL_07065	Chromosome_6	11899662	11900720	+	1059	299
TCAL_07064	Chromosome_6	11902517	11908816	+	6300	118
TCAL_07063	Chromosome_6	11902517	11913476	-	10960	65
TCAL_07060	Chromosome_6	11924470	11929350	-	4881	20
TCAL_07069	Chromosome_6	11864295	11878177	-	13883	91
TCAL_07068	Chromosome_6	11879630	11882157	+	2528	438
TCAL_13834	Chromosome_6	66975	72885	-	5911	9
TCAL_13091	Chromosome_6	3874446	3880801	+	6356	1
TCAL_13090	Chromosome_6	3880692	3883136	-	2445	312
TCAL_02257	Chromosome_6	2818861	2824007	-	5147	376
TCAL_02256	Chromosome_6	2816018	2818471	+	2454	10
TCAL_02259	Chromosome_6	2828681	2834517	+	5837	548
TCAL_02258	Chromosome_6	2825642	2827315	-	1674	106
TCAL_06558	Chromosome_6	8620663	8627758	-	7096	374
TCAL_06559	Chromosome_6	8617185	8619647	+	2463	8132
TCAL_06008	Chromosome_6	6861789	6863834	-	2046	4
TCAL_06009	Chromosome_6	6864108	6866007	-	1900	34
TCAL_06554	Chromosome_6	8679705	8683849	-	4145	0
TCAL_06007	Chromosome_6	6857780	6860101	+	2322	412
TCAL_06556	Chromosome_6	8640497	8649565	-	9069	1561
TCAL_06557	Chromosome_6	8630334	8631384	+	1051	0
TCAL_06002	Chromosome_6	6794207	6797785	+	3579	1601
TCAL_06551	Chromosome_6	8756501	8761829	+	5329	30
TCAL_06000	Chromosome_6	6766226	6768823	-	2598	93
TCAL_06553	Chromosome_6	8723992	8736005	-	12014	19
TCAL_12713	Chromosome_6	4863018	4869533	+	6516	7
TCAL_12711	Chromosome_6	4845435	4858873	-	13439	4
TCAL_12710	Chromosome_6	4828164	4843443	+	15280	378
TCAL_08099	Chromosome_6	4694449	4698055	+	3607	76
TCAL_08097	Chromosome_6	4719244	4723137	+	3894	96
TCAL_08096	Chromosome_6	4727289	4730556	-	3268	26
TCAL_08095	Chromosome_6	4732198	4733360	+	1163	22
TCAL_08092	Chromosome_6	4734270	4760583	+	26314	733
TCAL_08090	Chromosome_6	4760684	4765832	-	5149	2
TCAL_13994	Chromosome_6	4033876	4036908	+	3033	0
TCAL_16018	Chromosome_6	310323	311672	-	1350	9
TCAL_16019	Chromosome_6	3967910	3969186	+	1277	3490
TCAL_16010	Chromosome_6	13316867	13319646	+	2780	1528
TCAL_16011	Chromosome_6	13771499	13773009	-	1511	0
TCAL_16012	Chromosome_6	1390128	1399288	-	9161	35
TCAL_16013	Chromosome_6	14527703	14529616	+	1914	0
TCAL_16014	Chromosome_6	14833049	14841849	-	8801	0
TCAL_16015	Chromosome_6	1907810	1909274	+	1465	0
TCAL_16016	Chromosome_6	1912600	1915197	-	2598	2528
TCAL_16017	Chromosome_6	2568184	2583637	+	15454	21
TCAL_11736	Chromosome_6	10907045	10923367	-	16323	163
TCAL_07540	Chromosome_6	1769427	1779581	-	10155	327
TCAL_07541	Chromosome_6	1789481	1792307	-	2827	41
TCAL_07543	Chromosome_6	1792568	1792837	+	270	11
TCAL_07544	Chromosome_6	1799289	1808342	+	9054	22
TCAL_07546	Chromosome_6	1812689	1824201	+	11513	4
TCAL_07547	Chromosome_6	1828781	1831450	-	2670	159
TCAL_07548	Chromosome_6	1839499	1840630	-	1132	525
TCAL_07549	Chromosome_6	1824452	1858571	+	34120	2717
TCAL_05144	Chromosome_6	3321925	3348901	-	26977	327
TCAL_05142	Chromosome_6	3358572	3361775	-	3204	129
TCAL_05143	Chromosome_6	3356732	3358443	-	1712	70
TCAL_11367	Chromosome_6	13839095	13846029	-	6935	10
TCAL_11366	Chromosome_6	13830465	13837180	+	6716	137
TCAL_11365	Chromosome_6	13817015	13823560	-	6546	2180
TCAL_11364	Chromosome_6	13792019	13813229	-	21211	68
TCAL_11363	Chromosome_6	13789729	13790917	-	1189	33
TCAL_11362	Chromosome_6	13789119	13789733	+	615	139
TCAL_11361	Chromosome_6	13778573	13779421	+	849	6
TCAL_11369	Chromosome_6	13880164	13882997	+	2834	0
TCAL_12106	Chromosome_6	14156135	14167829	-	11695	421
TCAL_12104	Chromosome_6	14149847	14151670	+	1824	571
TCAL_12102	Chromosome_6	14138754	14141303	-	2550	15
TCAL_12103	Chromosome_6	14146228	14148416	-	2189	1107
TCAL_12100	Chromosome_6	14119884	14127203	-	7320	345
TCAL_12101	Chromosome_6	14129215	14131268	+	2054	303
TCAL_07049	Chromosome_6	11982354	11983793	+	1440	513
TCAL_07048	Chromosome_6	11982065	11992292	-	10228	984
TCAL_07045	Chromosome_6	12028018	12035407	-	7390	93
TCAL_07044	Chromosome_6	12042854	12044998	+	2145	0
TCAL_07046	Chromosome_6	12007195	12009823	+	2629	456
TCAL_07041	Chromosome_6	12135243	12164293	+	29051	111
TCAL_08938	Chromosome_6	15036721	15038963	-	2243	2060
TCAL_08939	Chromosome_6	15043948	15049752	-	5805	1
TCAL_08934	Chromosome_6	14985274	14985588	+	315	0
TCAL_08936	Chromosome_6	15014083	15028014	+	13932	72
TCAL_08937	Chromosome_6	15029055	15031971	-	2917	30
TCAL_08930	Chromosome_6	14967482	14973773	-	6292	216
TCAL_08931	Chromosome_6	14974143	14980885	-	6743	10725
TCAL_08933	Chromosome_6	14982147	14983254	+	1108	59
TCAL_06579	Chromosome_6	8982355	8986480	-	4126	134
TCAL_06572	Chromosome_6	8484273	8491445	-	7173	2
TCAL_06573	Chromosome_6	8480899	8481792	-	894	0
TCAL_06570	Chromosome_6	8517897	8519559	-	1663	22
TCAL_06571	Chromosome_6	8497888	8509399	+	11512	503
TCAL_06576	Chromosome_6	8431661	8442326	+	10666	957
TCAL_06574	Chromosome_6	8464550	8466301	-	1752	1
TCAL_06575	Chromosome_6	8454166	8457811	+	3646	10
TCAL_05889	Chromosome_6	7545564	7547846	+	2283	15
TCAL_05888	Chromosome_6	7549587	7551361	+	1775	301
TCAL_05886	Chromosome_6	7571577	7572841	-	1265	127
TCAL_05885	Chromosome_6	7574884	7577278	+	2395	123
TCAL_13466	Chromosome_6	5828815	5858227	+	29413	61
TCAL_13467	Chromosome_6	5858376	5864697	+	6322	18
TCAL_13642	Chromosome_6	8946390	8964342	-	17953	57
TCAL_13641	Chromosome_6	8942007	8942953	-	947	0
TCAL_16036	Chromosome_6	10505629	10506861	-	1233	323
TCAL_16037	Chromosome_6	10639151	10649337	-	10187	7
TCAL_16034	Chromosome_6	12188	26586	-	14399	8
TCAL_16035	Chromosome_6	10061183	10063731	-	2549	3432
TCAL_16032	Chromosome_6	9369088	9372423	+	3336	0
TCAL_16033	Chromosome_6	9374845	9380586	+	5742	0
TCAL_16030	Chromosome_6	8943836	8946225	-	2390	2172
TCAL_16031	Chromosome_6	9035691	9036146	+	456	248
TCAL_16038	Chromosome_6	10886712	10887272	-	561	0
TCAL_16039	Chromosome_6	10883983	10884543	-	561	0
TCAL_07564	Chromosome_6	2682259	2692173	-	9915	0
TCAL_07562	Chromosome_6	2612607	2621147	-	8541	105
TCAL_07563	Chromosome_6	2631664	2655039	-	23376	34
TCAL_07561	Chromosome_6	2622798	2631405	+	8608	504
TCAL_09799	Chromosome_6	10394003	10398070	-	4068	122
TCAL_09798	Chromosome_6	10413451	10424813	+	11363	3640
TCAL_09793	Chromosome_6	10448147	10452695	-	4549	519
TCAL_09792	Chromosome_6	10456692	10459756	+	3065	3706
TCAL_09791	Chromosome_6	10467322	10468247	+	926	10922
TCAL_09790	Chromosome_6	10476135	10478811	+	2677	6
TCAL_09797	Chromosome_6	10431757	10433121	-	1365	34
TCAL_09796	Chromosome_6	10438142	10443643	+	5502	351
TCAL_09795	Chromosome_6	10445343	10447015	-	1673	201
TCAL_09794	Chromosome_6	10448185	10449290	+	1106	121
TCAL_06774	Chromosome_6	14441685	14451036	-	9352	84
TCAL_06776	Chromosome_6	14325193	14327592	-	2400	9
TCAL_06777	Chromosome_6	14314335	14327769	+	13435	106
TCAL_06770	Chromosome_6	14508583	14511712	+	3130	0
TCAL_06771	Chromosome_6	14478416	14488879	+	10464	176
TCAL_06772	Chromosome_6	14454852	14464599	-	9748	25
TCAL_06773	Chromosome_6	14454728	14460609	+	5882	1
TCAL_06778	Chromosome_6	14285987	14310202	-	24216	127
TCAL_06006	Chromosome_6	6857662	6861190	-	3529	188
TCAL_06555	Chromosome_6	8649706	8652947	-	3242	5
TCAL_06004	Chromosome_6	6805917	6806597	+	681	9
TCAL_06005	Chromosome_6	6810110	6814873	-	4764	200
TCAL_06003	Chromosome_6	6797893	6802706	-	4814	75
TCAL_05997	Chromosome_6	6757048	6759292	+	2245	176
TCAL_05996	Chromosome_6	6737357	6741268	-	3912	16
TCAL_05991	Chromosome_6	6661771	6662970	-	1200	369
TCAL_05990	Chromosome_6	6651131	6651505	-	375	0
TCAL_14801	Chromosome_6	15035081	15035965	+	885	1179
TCAL_05993	Chromosome_6	6692547	6692915	-	369	0
TCAL_05992	Chromosome_6	6668502	6670983	-	2482	0
TCAL_14803	Chromosome_6	15237346	15238735	+	1390	0
TCAL_14802	Chromosome_6	15060175	15062205	+	2031	5
TCAL_09322	Chromosome_6	10184891	10185953	-	1063	10
TCAL_09323	Chromosome_6	10232822	10246395	+	13574	16
TCAL_09320	Chromosome_6	10111992	10117127	+	5136	4
TCAL_09326	Chromosome_6	10269230	10272576	+	3347	69
TCAL_09327	Chromosome_6	10273672	10275672	+	2001	1478
TCAL_09324	Chromosome_6	10241509	10246395	-	4887	80
TCAL_09325	Chromosome_6	10264897	10267674	-	2778	2803
TCAL_09328	Chromosome_6	10276715	10289471	+	12757	126
TCAL_09329	Chromosome_6	10367205	10368951	-	1747	58
TCAL_13400	Chromosome_6	15230373	15234302	+	3930	3
TCAL_12868	Chromosome_6	923653	936788	-	13136	602
TCAL_12863	Chromosome_6	900969	907468	-	6500	272
TCAL_12865	Chromosome_6	919143	922157	-	3015	20
TCAL_12864	Chromosome_6	910294	912060	+	1767	318
TCAL_17099	Chromosome_6	9776532	9813784	-	37253	2
TCAL_17098	Chromosome_6	9605105	9645126	-	40022	17
TCAL_17093	Chromosome_6	7820760	7825046	+	4287	5
TCAL_17092	Chromosome_6	7555181	7557244	+	2064	0
TCAL_17091	Chromosome_6	7566392	7569664	-	3273	65
TCAL_17090	Chromosome_6	7138396	7142790	+	4395	0
TCAL_17097	Chromosome_6	9208371	9211070	+	2700	170
TCAL_17096	Chromosome_6	9114155	9116584	+	2430	37
TCAL_17095	Chromosome_6	8439612	8442151	-	2540	108
TCAL_17094	Chromosome_6	8145295	8170646	-	25352	1789
TCAL_14840	Chromosome_6	9533322	9533732	-	411	53
TCAL_12670	Chromosome_6	3103845	3123265	+	19421	2
TCAL_01997	Chromosome_6	7967132	7978589	-	11458	38
TCAL_05109	Chromosome_6	1258419	1262788	+	4370	177
TCAL_13939	Chromosome_6	10608667	10616064	-	7398	4
TCAL_12884	Chromosome_6	3159818	3160817	-	1000	37
TCAL_12883	Chromosome_6	3147941	3156816	+	8876	1
TCAL_12882	Chromosome_6	3126978	3146574	+	19597	302
TCAL_12335	Chromosome_6	12600098	12607809	+	7712	358
TCAL_12336	Chromosome_6	12607897	12610557	-	2661	1350
TCAL_12339	Chromosome_6	12649860	12650099	+	240	59
TCAL_12338	Chromosome_6	12614310	12628658	+	14349	697
TCAL_09427	Chromosome_6	4407125	4414065	-	6941	341
TCAL_09426	Chromosome_6	4391616	4393901	-	2286	811
TCAL_09429	Chromosome_6	4420984	4429464	+	8481	485
TCAL_09428	Chromosome_6	4415634	4419397	-	3764	149
TCAL_05124	Chromosome_6	1450115	1466044	-	15930	14
TCAL_14823	Chromosome_6	5944734	5945819	+	1086	0
TCAL_14822	Chromosome_6	5786360	5795314	-	8955	9
TCAL_14821	Chromosome_6	5389576	5392154	-	2579	2
TCAL_14820	Chromosome_6	5446446	5451769	+	5324	3
TCAL_14827	Chromosome_6	6482859	6486212	+	3354	0
TCAL_14826	Chromosome_6	6386554	6387456	+	903	9
TCAL_14825	Chromosome_6	6380740	6381992	+	1253	33
TCAL_14824	Chromosome_6	600214	603982	+	3769	23891
TCAL_14829	Chromosome_6	6786897	6787181	-	285	0
TCAL_14828	Chromosome_6	6452148	6453057	-	910	0
TCAL_09892	Chromosome_6	9274339	9282115	+	7777	354
TCAL_10788	Chromosome_6	5496597	5501944	-	5348	12
TCAL_10789	Chromosome_6	5506713	5520957	+	14245	79
TCAL_10038	Chromosome_6	8881563	8884262	-	2700	105
TCAL_10787	Chromosome_6	5483011	5491433	+	8423	33
TCAL_08956	Chromosome_6	9573864	9574706	+	843	381
TCAL_08957	Chromosome_6	9570673	9573255	+	2583	357
TCAL_08955	Chromosome_6	9577289	9583768	-	6480	1683
TCAL_08952	Chromosome_6	9598815	9611709	+	12895	864
TCAL_08953	Chromosome_6	9591347	9594720	+	3374	269
TCAL_08950	Chromosome_6	9638480	9643658	+	5179	156
TCAL_08951	Chromosome_6	9617109	9623274	+	6166	16
TCAL_08098	Chromosome_6	4698765	4703290	+	4526	1187
TCAL_14809	Chromosome_6	285765	286374	-	610	8299
TCAL_14808	Chromosome_6	284093	284380	-	288	411
TCAL_14805	Chromosome_6	1658540	1660152	+	1613	549
TCAL_14804	Chromosome_6	1624333	1626760	+	2428	26
TCAL_14807	Chromosome_6	1760078	1761982	-	1905	2
TCAL_14806	Chromosome_6	1677510	1677947	-	438	137
TCAL_12988	Chromosome_6	987513	990958	+	3446	1
TCAL_12986	Chromosome_6	1010511	1020329	+	9819	6211
TCAL_12987	Chromosome_6	1000637	1004847	+	4211	1
TCAL_12983	Chromosome_6	1022240	1024160	+	1921	1017
TCAL_14779	Chromosome_6	11554479	11555576	+	1098	0
TCAL_14778	Chromosome_6	10762609	10764796	+	2188	2
TCAL_14777	Chromosome_6	10719180	10721595	+	2416	55
TCAL_14776	Chromosome_6	10685548	10686072	+	525	1
TCAL_12189	Chromosome_6	14572429	14583248	-	10820	525
TCAL_05802	Chromosome_6	3495097	3502241	-	7145	6
TCAL_17392	Chromosome_6	3492112	3494635	-	2524	24
TCAL_06549	Chromosome_6	8768528	8776021	+	7494	657
TCAL_06548	Chromosome_6	8776014	8780552	-	4539	5035
TCAL_06547	Chromosome_6	8786943	8798702	+	11760	139
TCAL_15349	Chromosome_11	14409999	14411663	-	1665	1
TCAL_15348	Chromosome_11	14151691	14152187	-	497	0
TCAL_08523	Chromosome_11	13145626	13149378	-	3753	361
TCAL_08521	Chromosome_11	13182203	13184467	+	2265	106
TCAL_08520	Chromosome_11	13185852	13187834	+	1983	23
TCAL_08527	Chromosome_11	13125030	13131859	+	6830	20
TCAL_08525	Chromosome_11	13132498	13140601	+	8104	66
TCAL_08524	Chromosome_11	13142180	13144603	+	2424	126
TCAL_06291	Chromosome_11	7872911	7873435	-	525	0
TCAL_06290	Chromosome_11	7878964	7887273	-	8310	2013
TCAL_12969	Chromosome_11	2697862	2704164	+	6303	10
TCAL_08992	Chromosome_11	4987848	4991723	-	3876	982
TCAL_08993	Chromosome_11	4996423	5000085	-	3663	0
TCAL_08990	Chromosome_11	4978848	4981114	-	2267	12
TCAL_08991	Chromosome_11	4983756	4984374	+	619	1
TCAL_08996	Chromosome_11	5027840	5030655	+	2816	28
TCAL_08997	Chromosome_11	5031658	5050118	-	18461	1517
TCAL_08994	Chromosome_11	5011531	5014509	-	2979	125
TCAL_08995	Chromosome_11	5014588	5017563	-	2976	1165
TCAL_13560	Chromosome_11	12713696	12714457	-	762	149
TCAL_15341	Chromosome_11	12785436	12787628	-	2193	75
TCAL_15340	Chromosome_11	12211086	12238785	-	27700	46
TCAL_15343	Chromosome_11	13043621	13061196	+	17576	83
TCAL_15342	Chromosome_11	12783686	12784970	-	1285	0
TCAL_15345	Chromosome_11	13480662	13488847	+	8186	0
TCAL_15344	Chromosome_11	13470066	13470728	-	663	2
TCAL_15347	Chromosome_11	14092714	14094638	+	1925	0
TCAL_15346	Chromosome_11	13781778	13782860	-	1083	700
TCAL_10421	Chromosome_11	14459653	14463355	+	3703	90
TCAL_10420	Chromosome_11	14473798	14479186	-	5389	254
TCAL_12820	Chromosome_11	1156838	1159965	-	3128	1173
TCAL_08509	Chromosome_11	13351636	13352978	-	1343	2914
TCAL_08508	Chromosome_11	13348895	13355190	+	6296	91
TCAL_08505	Chromosome_11	13366328	13367932	-	1605	183
TCAL_08504	Chromosome_11	13373898	13376235	+	2338	3424
TCAL_08507	Chromosome_11	13359021	13359445	+	425	0
TCAL_08506	Chromosome_11	13355232	13361122	-	5891	365
TCAL_07852	Chromosome_11	15439966	15456656	-	16691	26
TCAL_07853	Chromosome_11	15465728	15472463	-	6736	423
TCAL_07850	Chromosome_11	15408114	15415093	+	6980	192
TCAL_07851	Chromosome_11	15417802	15433661	+	15860	152
TCAL_07856	Chromosome_11	15500907	15502799	+	1893	42
TCAL_01689	Chromosome_11	9979423	9981446	+	2024	377
TCAL_01688	Chromosome_11	9984740	9987324	+	2585	159
TCAL_01681	Chromosome_11	10025825	10030084	-	4260	0
TCAL_01680	Chromosome_11	10032050	10032843	-	794	0
TCAL_01683	Chromosome_11	10009097	10009444	-	348	0
TCAL_01682	Chromosome_11	10021972	10023768	+	1797	0
TCAL_01685	Chromosome_11	9993719	9994770	-	1052	160
TCAL_01684	Chromosome_11	9995690	10008939	+	13250	439
TCAL_01687	Chromosome_11	9987638	9988459	-	822	4
TCAL_01686	Chromosome_11	9989125	9993573	-	4449	109
TCAL_16678	Chromosome_11	13707312	13707660	+	349	0
TCAL_16679	Chromosome_11	13922337	13934250	-	11914	14
TCAL_16670	Chromosome_11	11260943	11262952	+	2010	0
TCAL_16671	Chromosome_11	11790108	11790962	+	855	0
TCAL_16672	Chromosome_11	11853758	11864608	+	10851	0
TCAL_16673	Chromosome_11	12962193	12974150	-	11958	3
TCAL_16674	Chromosome_11	1311984	1315265	+	3282	307
TCAL_16675	Chromosome_11	13531487	13548339	+	16853	24
TCAL_16676	Chromosome_11	13603002	13604522	-	1521	13
TCAL_16677	Chromosome_11	13565328	13569371	+	4044	0
TCAL_04234	Chromosome_11	6928865	6930478	-	1614	112
TCAL_13724	Chromosome_11	7824801	7835574	-	10774	202
TCAL_09768	Chromosome_11	10830160	10830588	-	429	0
TCAL_16718	Chromosome_11	5469971	5510814	+	40844	8
TCAL_10409	Chromosome_11	14611355	14612389	+	1035	0
TCAL_10408	Chromosome_11	14616957	14619080	-	2124	520
TCAL_10407	Chromosome_11	14628451	14640703	+	12253	977
TCAL_14382	Chromosome_11	1302219	1303774	-	1556	126
TCAL_14383	Chromosome_11	1303813	1307497	-	3685	0
TCAL_14380	Chromosome_11	12611041	12611764	+	724	0
TCAL_14381	Chromosome_11	1384954	1385748	-	795	53
TCAL_14386	Chromosome_11	13336915	13339512	-	2598	142
TCAL_14387	Chromosome_11	13556108	13557608	+	1501	0
TCAL_14384	Chromosome_11	13151201	13181030	+	29830	343
TCAL_14385	Chromosome_11	13361886	13363006	+	1121	15
TCAL_14388	Chromosome_11	13601509	13602009	+	501	79
TCAL_14389	Chromosome_11	14577457	14578917	+	1461	28
TCAL_17398	Chromosome_11	2883182	2884356	+	1175	0
TCAL_17399	Chromosome_11	13006273	13007489	-	1217	0
TCAL_15389	Chromosome_11	7846141	7855453	-	9313	0
TCAL_15388	Chromosome_11	7725233	7729220	+	3988	78
TCAL_15385	Chromosome_11	7379090	7380650	+	1561	7
TCAL_15384	Chromosome_11	7191635	7193120	+	1486	11
TCAL_15387	Chromosome_11	7471919	7474379	+	2461	181
TCAL_15381	Chromosome_11	6186945	6189979	+	3035	4962
TCAL_15383	Chromosome_11	6743969	6748461	-	4493	180
TCAL_15382	Chromosome_11	6695800	6697076	-	1277	0
TCAL_17435	Chromosome_11	4623390	4623997	-	608	626
TCAL_12343	Chromosome_11	4613273	4613992	+	720	617
TCAL_07832	Chromosome_11	15250325	15256225	+	5901	53
TCAL_07833	Chromosome_11	15257666	15258649	-	984	39
TCAL_07834	Chromosome_11	15259937	15262729	-	2793	11
TCAL_07835	Chromosome_11	15275822	15278523	-	2702	293
TCAL_07837	Chromosome_11	15290014	15292357	-	2344	115
TCAL_07838	Chromosome_11	15296697	15298274	+	1578	28
TCAL_07839	Chromosome_11	15210068	15211030	+	963	3
TCAL_12929	Chromosome_11	1588325	1595250	+	6926	9
TCAL_12920	Chromosome_11	3115463	3115837	-	375	0
TCAL_12921	Chromosome_11	3103990	3107885	+	3896	0
TCAL_12922	Chromosome_11	3087666	3089135	+	1470	498
TCAL_06806	Chromosome_11	10438618	10447946	-	9329	244
TCAL_06807	Chromosome_11	10443328	10443837	+	510	88
TCAL_06804	Chromosome_11	10469830	10484722	+	14893	4
TCAL_06805	Chromosome_11	10457929	10462365	-	4437	76
TCAL_06802	Chromosome_11	10518072	10520284	-	2213	983
TCAL_06803	Chromosome_11	10512784	10513361	+	578	0
TCAL_06800	Chromosome_11	10525609	10528546	-	2938	1505
TCAL_06801	Chromosome_11	10524912	10525617	+	706	43
TCAL_06808	Chromosome_11	10406623	10415756	-	9134	92
TCAL_06809	Chromosome_11	10355052	10366483	-	11432	5
TCAL_12219	Chromosome_11	12427610	12431873	+	4264	0
TCAL_12217	Chromosome_11	12449033	12464071	-	15039	9
TCAL_09769	Chromosome_11	10842769	10848654	+	5886	2
TCAL_06148	Chromosome_11	11945969	11956345	+	10377	0
TCAL_06147	Chromosome_11	11898967	11905541	-	6575	23
TCAL_06145	Chromosome_11	11893682	11895168	+	1487	0
TCAL_11909	Chromosome_11	4005515	4022945	-	17431	29
TCAL_11908	Chromosome_11	4024777	4026188	+	1412	334
TCAL_11902	Chromosome_11	4065208	4067841	+	2634	163
TCAL_11901	Chromosome_11	4072889	4073429	+	541	4
TCAL_11900	Chromosome_11	10741649	10742044	-	396	0
TCAL_11907	Chromosome_11	4027520	4031442	+	3923	889
TCAL_11906	Chromosome_11	4031445	4033397	-	1953	111
TCAL_11905	Chromosome_11	4039262	4042071	-	2810	23
TCAL_11904	Chromosome_11	4052875	4056651	+	3777	47
TCAL_08134	Chromosome_11	636059	640727	+	4669	11
TCAL_08135	Chromosome_11	665681	671978	-	6298	233
TCAL_08136	Chromosome_11	665788	667764	+	1977	47
TCAL_08137	Chromosome_11	673732	675075	+	1344	62
TCAL_08130	Chromosome_11	599743	610028	+	10286	1
TCAL_08131	Chromosome_11	613386	615018	+	1633	639
TCAL_08132	Chromosome_11	624927	627279	+	2353	63
TCAL_08133	Chromosome_11	628575	640996	-	12422	14
TCAL_08138	Chromosome_11	673082	689333	-	16252	220
TCAL_08139	Chromosome_11	690157	691998	-	1842	4
TCAL_12277	Chromosome_11	5218549	5231627	-	13079	184
TCAL_12278	Chromosome_11	5214170	5216546	+	2377	292
TCAL_12279	Chromosome_11	5210414	5212972	-	2559	38
TCAL_12049	Chromosome_11	2236179	2238407	-	2229	123
TCAL_12048	Chromosome_11	2232584	2233713	+	1130	103
TCAL_12042	Chromosome_11	2146734	2150780	+	4047	49
TCAL_12047	Chromosome_11	2203958	2214470	-	10513	13
TCAL_12046	Chromosome_11	2200619	2201619	-	1001	3
TCAL_12045	Chromosome_11	2186360	2201679	+	15320	29
TCAL_12044	Chromosome_11	2177403	2180527	+	3125	72
TCAL_09782	Chromosome_11	10986063	10993631	-	7569	258
TCAL_11460	Chromosome_11	3251159	3253892	+	2734	41
TCAL_11461	Chromosome_11	3222941	3227025	-	4085	82
TCAL_11462	Chromosome_11	3214357	3215038	+	682	0
TCAL_11463	Chromosome_11	3201257	3207800	+	6544	82
TCAL_06161	Chromosome_11	12040786	12041682	+	897	114
TCAL_06160	Chromosome_11	12040707	12044889	-	4183	79
TCAL_06163	Chromosome_11	12063456	12066825	+	3370	0
TCAL_06162	Chromosome_11	12048954	12050735	+	1782	0
TCAL_06165	Chromosome_11	12071551	12073278	+	1728	28
TCAL_06164	Chromosome_11	12068368	12069793	+	1426	6070
TCAL_06166	Chromosome_11	12074302	12075558	-	1257	56
TCAL_06168	Chromosome_11	12081544	12083496	+	1953	5
TCAL_08111	Chromosome_11	502900	504603	-	1704	54
TCAL_09306	Chromosome_11	13650017	13660250	-	10234	12
TCAL_08112	Chromosome_11	508152	511047	+	2896	410
TCAL_08113	Chromosome_11	510350	510752	-	403	2
TCAL_08110	Chromosome_11	499227	501170	+	1944	150
TCAL_09307	Chromosome_11	13690673	13702152	+	11480	222
TCAL_08116	Chromosome_11	512800	513267	+	468	0
TCAL_08117	Chromosome_11	513312	514619	+	1308	978
TCAL_08114	Chromosome_11	511881	512213	+	333	0
TCAL_08115	Chromosome_11	512318	512779	+	462	0
TCAL_08118	Chromosome_11	515886	520190	-	4305	446
TCAL_08119	Chromosome_11	520330	522693	-	2364	289
TCAL_13788	Chromosome_11	6045077	6049236	+	4160	2
TCAL_07178	Chromosome_11	1291759	1293911	-	2153	9
TCAL_07174	Chromosome_11	1318666	1321620	-	2955	7
TCAL_07177	Chromosome_11	1269912	1301479	+	31568	25
TCAL_07171	Chromosome_11	1339914	1343887	+	3974	143
TCAL_07170	Chromosome_11	1365036	1385818	+	20783	220
TCAL_07173	Chromosome_11	1322434	1324114	-	1681	0
TCAL_07172	Chromosome_11	1332007	1343914	-	11908	262
TCAL_13123	Chromosome_11	7384905	7385766	+	862	0
TCAL_13122	Chromosome_11	7381043	7383353	+	2311	48
TCAL_13121	Chromosome_11	7367395	7368615	+	1221	35
TCAL_13120	Chromosome_11	7349538	7354705	+	5168	19
TCAL_09775	Chromosome_11	10902371	10903569	+	1199	0
TCAL_09762	Chromosome_11	10763279	10763668	+	390	353
TCAL_09763	Chromosome_11	10801796	10802103	+	308	0
TCAL_09766	Chromosome_11	10829461	10830705	+	1245	0
TCAL_09764	Chromosome_11	10808357	10810901	-	2545	169
TCAL_09765	Chromosome_11	10812964	10813278	-	315	0
