SeqName,Description
TCAL_07465-PA,Similar to cygb1 Cytoglobin-1 (Oryzias latipes)
TCAL_05043-PA,Similar to DMTN Dematin (Pongo abelii)
TCAL_10665-PA,Similar to EHD1 EH domain-containing protein 1 (Arabidopsis thaliana)
TCAL_05742-PA,Similar to EloA Transcription elongation factor B polypeptide 3 (Drosophila melanogaster)
TCAL_08453-PA,Similar to emc2 ER membrane protein complex subunit 2 (Xenopus tropicalis)
TCAL_06842-PA,Similar to EPS8 Epidermal growth factor receptor kinase substrate 8 (Homo sapiens)
TCAL_08322-PA,Similar to Eps8l2 Epidermal growth factor receptor kinase substrate 8-like protein 2 (Mus musculus)
TCAL_07395-PA,Similar to fam160b1 Protein FAM160B1 (Xenopus laevis)
TCAL_07816-PA,Similar to Fam206a Protein Simiate (Mus musculus)
TCAL_00697-PA,Similar to fam213b Prostamide/prostaglandin F synthase (Xenopus tropicalis)
TCAL_04709-PA,Similar to FAM69C Protein FAM69C (Homo sapiens)
TCAL_02942-PA,Similar to fan1 Fanconi-associated nuclease 1 (Danio rerio)
TCAL_07634-PA,Similar to FR FMRFamide receptor (Drosophila melanogaster)
TCAL_10341-PA,"Similar to fut8 Alpha-(1,6)-fucosyltransferase (Xenopus tropicalis)"
TCAL_02317-PA,Similar to futsch Microtubule-associated protein futsch (Drosophila melanogaster)
TCAL_15432-PA,Similar to Gabrr1 Gamma-aminobutyric acid receptor subunit rho-1 (Mus musculus)
TCAL_06217-PA,Similar to GAL3ST1 Galactosylceramide sulfotransferase (Bos taurus)
TCAL_07456-PA,Similar to GAL3ST1 Galactosylceramide sulfotransferase (Bos taurus)
TCAL_08905-PA,Similar to GAL3ST1 Galactosylceramide sulfotransferase (Bos taurus)
TCAL_08906-PA,Similar to GAL3ST1 Galactosylceramide sulfotransferase (Bos taurus)
TCAL_10134-PA,Similar to Gosr2 Golgi SNAP receptor complex member 2 (Mus musculus)
TCAL_11416-PA,Similar to Histone-binding protein N1/N2 (Xenopus laevis)
TCAL_06267-PA,Similar to HS2ST1 Heparan sulfate 2-O-sulfotransferase 1 (Gallus gallus)
TCAL_02678-PA,Similar to HS2ST1 Heparan sulfate 2-O-sulfotransferase 1 (Homo sapiens)
TCAL_07928-PA,Similar to hs2st1 Heparan sulfate 2-O-sulfotransferase 1 (Xenopus laevis)
TCAL_15799-PA,Similar to hs2st1 Heparan sulfate 2-O-sulfotransferase 1 (Xenopus laevis)
TCAL_15633-PA,Similar to HSDL2 Hydroxysteroid dehydrogenase-like protein 2 (Homo sapiens)
TCAL_12203-PA,Similar to hst-2 Heparan sulfate 2-O-sulfotransferase hst-2 (Caenorhabditis elegans)
TCAL_12829-PA,Similar to Iah1 Isoamyl acetate-hydrolyzing esterase 1 homolog (Rattus norvegicus)
TCAL_08269-PA,Similar to IFI30 Gamma-interferon-inducible lysosomal thiol reductase (Bos taurus)
TCAL_06462-PA,Similar to IFT43 Intraflagellar transport protein 43 homolog (Canis lupus familiaris)
TCAL_06193-PA,Similar to kel-10 Kelch repeat-containing protein kel-10 (Caenorhabditis elegans)
TCAL_01507-PA,"Similar to KIN7D Kinesin-like protein KIN-7D, mitochondrial (Arabidopsis thaliana)"
TCAL_05246-PA,Similar to KIRREL2 Kin of IRRE-like protein 2 (Homo sapiens)
TCAL_03570-PA,Similar to kti12 Protein KTI12 homolog (Xenopus laevis)
TCAL_14290-PA,Similar to l(1)G0196 Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase (Drosophila melanogaster)
TCAL_14999-PA,Similar to LCP1 Larval cuticle protein 1 (Helicoverpa armigera)
TCAL_11186-PA,Similar to LPIN2 Phosphatidate phosphatase LPIN2 (Homo sapiens)
TCAL_09171-PA,Similar to LPIN3 Phosphatidate phosphatase LPIN3 (Homo sapiens)
TCAL_08004-PA,Similar to ltn1 E3 ubiquitin-protein ligase listerin (Xenopus tropicalis)
TCAL_11330-PA,Similar to maf1 Repressor of RNA polymerase III transcription MAF1 homolog (Danio rerio)
TCAL_00158-PA,Similar to mak16-a Protein MAK16 homolog A (Xenopus laevis)
TCAL_03815-PA,Similar to Marf Transmembrane GTPase Marf (Drosophila melanogaster)
TCAL_12210-PA,Similar to Marf Transmembrane GTPase Marf (Drosophila melanogaster)
TCAL_06764-PA,Similar to Mcph1 Microcephalin (Mus musculus)
TCAL_00950-PA,Similar to med12 Mediator of RNA polymerase II transcription subunit 12 (Danio rerio)
TCAL_08909-PA,Similar to MED21 Mediator of RNA polymerase II transcription subunit 21 (Aedes aegypti)
TCAL_04948-PA,"Similar to Mgat1 Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase (Rattus norvegicus)"
TCAL_05768-PA,Similar to Mgst1 Microsomal glutathione S-transferase 1 (Mus musculus)
TCAL_05769-PA,Similar to Mgst1 Microsomal glutathione S-transferase 1 (Mus musculus)
TCAL_16576-PA,Similar to Mgst1 Microsomal glutathione S-transferase 1 (Mus musculus)
TCAL_11381-PA,Similar to Mkln1 Muskelin (Rattus norvegicus)
TCAL_09722-PA,Similar to MKS1 Meckel syndrome type 1 protein (Homo sapiens)
TCAL_01161-PA,Similar to mmlH Probable 4-methylmuconolactone transporter (Cupriavidus necator (strain JMP 134 / LMG 1197))
TCAL_02539-PA,"Similar to mRpL23 39S ribosomal protein L23, mitochondrial (Drosophila melanogaster)"
TCAL_01525-PA,"Similar to msta Protein msta, isoform A (Drosophila melanogaster)"
TCAL_06032-PA,Similar to MTCH2 Mitochondrial carrier homolog 2 (Bos taurus)
TCAL_07693-PA,Similar to MTHFS 5-formyltetrahydrofolate cyclo-ligase (Oryctolagus cuniculus)
TCAL_13998-PA,"Similar to Myg1 UPF0160 protein MYG1, mitochondrial (Mus musculus)"
TCAL_02423-PA,Similar to MYO18A Unconventional myosin-XVIIIa (Homo sapiens)
TCAL_12676-PA,Similar to MYRF Myelin regulatory factor (Homo sapiens)
TCAL_04154-PA,Similar to nanos1 Nanos homolog 1 (Danio rerio)
TCAL_10286-PA,Similar to nanos1 Nanos homolog 1 (Danio rerio)
TCAL_09310-PA,Similar to NANOS2 Nanos homolog 2 (Homo sapiens)
TCAL_04496-PA,Similar to NCKAP1 Nck-associated protein 1 (Homo sapiens)
TCAL_02369-PA,Similar to Ndufa4 Cytochrome c oxidase subunit NDUFA4 (Mus musculus)
TCAL_02370-PA,"Similar to Ndufs6 NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial (Rattus norvegicus)"
TCAL_09788-PA,Similar to nemp1b Nuclear envelope integral membrane protein 1b (Xenopus laevis)
TCAL_14207-PA,Similar to NEO1 Neogenin (Homo sapiens)
TCAL_10010-PA,Similar to NIPBL Nipped-B-like protein (Homo sapiens)
TCAL_10508-PA,Similar to NMD3 60S ribosomal export protein NMD3 (Homo sapiens)
TCAL_04750-PA,Similar to nol6 Nucleolar protein 6 (Xenopus tropicalis)
TCAL_10400-PA,Similar to NPC2 Epididymal secretory protein E1 (Bos taurus)
TCAL_10429-PA,Similar to nup85 Nuclear pore complex protein Nup85 (Danio rerio)
TCAL_10600-PA,Similar to Nxf1 Nuclear RNA export factor 1 (Mus musculus)
TCAL_04030-PA,Similar to ostc-a Oligosaccharyltransferase complex subunit ostc-A (Xenopus laevis)
TCAL_10511-PA,Similar to Patronin Patronin (Drosophila melanogaster)
TCAL_01725-PA,Similar to PFDN2 Prefoldin subunit 2 (Homo sapiens)
TCAL_07193-PA,Similar to PICK1 PRKCA-binding protein (Pongo abelii)
TCAL_00102-PA,Similar to pip Heparan sulfate 2-O-sulfotransferase pipe (Drosophila melanogaster)
TCAL_01018-PA,Similar to pip Heparan sulfate 2-O-sulfotransferase pipe (Drosophila melanogaster)
TCAL_01210-PA,Similar to pip Heparan sulfate 2-O-sulfotransferase pipe (Drosophila melanogaster)
TCAL_01963-PA,Similar to pip Heparan sulfate 2-O-sulfotransferase pipe (Drosophila melanogaster)
TCAL_02145-PA,Similar to pip Heparan sulfate 2-O-sulfotransferase pipe (Drosophila melanogaster)
TCAL_03166-PA,Similar to pip Heparan sulfate 2-O-sulfotransferase pipe (Drosophila melanogaster)
TCAL_06426-PA,Similar to pip Heparan sulfate 2-O-sulfotransferase pipe (Drosophila melanogaster)
TCAL_12114-PA,Similar to pip Heparan sulfate 2-O-sulfotransferase pipe (Drosophila melanogaster)
TCAL_13123-PA,Similar to PLA2G7 Platelet-activating factor acetylhydrolase (Homo sapiens)
TCAL_15786-PA,Similar to Probable tRNA methyltransferase 9-like protein (Bos taurus)
TCAL_07431-PA,Similar to PSMD4 26S proteasome non-ATPase regulatory subunit 4 (Bos taurus)
TCAL_02671-PA,Similar to pum3 Pumilio homolog 3 (Danio rerio)
TCAL_04658-PA,Similar to Rad50 DNA repair protein RAD50 (Rattus norvegicus)
TCAL_00976-PA,Similar to RASSF5 Ras association domain-containing protein 5 (Homo sapiens)
TCAL_12609-PA,Similar to resilin Pro-resilin (Drosophila melanogaster)
TCAL_12976-PA,Similar to RHBDL3 Rhomboid-related protein 3 (Homo sapiens)
TCAL_07421-PA,Similar to RpL28 60S ribosomal protein L28 (Drosophila melanogaster)
TCAL_04893-PA,Similar to RPN2 Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 (Pongo abelii)
TCAL_00100-PA,Similar to RPRD1B Regulation of nuclear pre-mRNA domain-containing protein 1B (Homo sapiens)
TCAL_09113-PA,Similar to Rrp8 Ribosomal RNA-processing protein 8 (Mus musculus)
TCAL_11830-PA,Similar to Sepsecs O-phosphoseryl-tRNA(Sec) selenium transferase (Mus musculus)
TCAL_10671-PA,Similar to Serine protease inhibitor dipetalogastin (Fragment) (Dipetalogaster maximus)
TCAL_17355-PA,Similar to SH3GLB2 Endophilin-B2 (Gallus gallus)
TCAL_07936-PA,Similar to shakB Innexin shaking-B (Drosophila melanogaster)
TCAL_16842-PA,Similar to SHISA4 Protein shisa-4 (Homo sapiens)
TCAL_03332-PA,Similar to shroom2 Protein Shroom2 (Xenopus tropicalis)
TCAL_16959-PA,Similar to SK Small conductance calcium-activated potassium channel protein (Drosophila melanogaster)
TCAL_02513-PA,Similar to SLC14A2 Urea transporter 2 (Homo sapiens)
TCAL_03650-PA,Similar to Slc41a1 Solute carrier family 41 member 1 (Mus musculus)
TCAL_04282-PA,Similar to slc41a2 Solute carrier family 41 member 2 (Xenopus laevis)
TCAL_08476-PA,Similar to SLC46A3 Solute carrier family 46 member 3 (Gallus gallus)
TCAL_06843-PA,Similar to sn Protein singed (Drosophila melanogaster)
TCAL_12731-PA,Similar to snrpe Small nuclear ribonucleoprotein E (Danio rerio)
TCAL_07871-PA,Similar to Snx16 Sorting nexin-16 (Mus musculus)
TCAL_08000-PA,Similar to Spon2 Spondin-2 (Rattus norvegicus)
TCAL_11187-PA,Similar to SRP14 Signal recognition particle 14 kDa protein (Pongo abelii)
TCAL_14738-PA,Similar to STAG2 Cohesin subunit SA-2 (Homo sapiens)
TCAL_11932-PA,Similar to STRIP1 Striatin-interacting protein 1 (Homo sapiens)
TCAL_02352-PA,Similar to Su(H) Suppressor of hairless protein (Drosophila melanogaster)
TCAL_01939-PA,Similar to SUDS3 Sin3 histone deacetylase corepressor complex component SDS3 (Bos taurus)
TCAL_11340-PA,Similar to Syx5 Syntaxin-5 (Drosophila melanogaster)
TCAL_06695-PA,Similar to Taf11 Transcription initiation factor TFIID subunit 11 (Drosophila melanogaster)
TCAL_11360-PA,Similar to TAF12 Transcription initiation factor TFIID subunit 12 (Homo sapiens)
TCAL_09081-PA,Similar to Taf6 Transcription initiation factor TFIID subunit 6 (Drosophila melanogaster)
TCAL_14940-PA,Similar to taf8 Transcription initiation factor TFIID subunit 8 (Xenopus tropicalis)
TCAL_05673-PA,"Similar to tamm41 Phosphatidate cytidylyltransferase, mitochondrial (Xenopus laevis)"
TCAL_00563-PA,Similar to Taz Tafazzin homolog (Drosophila melanogaster)
TCAL_02336-PA,Similar to tdrd3 Tudor domain-containing protein 3 (Xenopus tropicalis)
TCAL_13304-PA,Similar to timm21 Mitochondrial import inner membrane translocase subunit Tim21 (Xenopus laevis)
TCAL_00467-PA,Similar to Tmem33 Transmembrane protein 33 (Rattus norvegicus)
TCAL_09793-PA,Similar to TMEM68 Transmembrane protein 68 (Bos taurus)
TCAL_04168-PA,Similar to TNS Tensin (Gallus gallus)
TCAL_00421-PA,Similar to TRAPPC3 Trafficking protein particle complex subunit 3 (Gallus gallus)
TCAL_02102-PA,Similar to TRAPPC4 Trafficking protein particle complex subunit 4 (Bos taurus)
TCAL_08217-PA,Similar to Trim37 E3 ubiquitin-protein ligase TRIM37 (Mus musculus)
TCAL_07100-PA,Similar to Tsg101 Tumor susceptibility gene 101 protein (Mus musculus)
TCAL_04528-PA,Similar to TSPOAP1 Peripheral-type benzodiazepine receptor-associated protein 1 (Homo sapiens)
TCAL_07025-PA,Similar to ttc36 Tetratricopeptide repeat protein 36 (Danio rerio)
TCAL_00868-PA,Similar to Txndc17 Thioredoxin domain-containing protein 17 (Mus musculus)
TCAL_01719-PA,Similar to Ube2h Ubiquitin-conjugating enzyme E2 H (Mus musculus)
TCAL_12264-PA,Similar to Ube4a Ubiquitin conjugation factor E4 A (Rattus norvegicus)
TCAL_10916-PA,Similar to UBE4B Ubiquitin conjugation factor E4 B (Homo sapiens)
TCAL_00762-PA,Similar to ubtd2 Ubiquitin domain-containing protein 2 (Danio rerio)
TCAL_08759-PA,Similar to UMOD Uromodulin (Bos taurus)
TCAL_07371-PA,Similar to UQCRB Cytochrome b-c1 complex subunit 7 (Bos taurus)
TCAL_11986-PA,Similar to UST Uronyl 2-sulfotransferase (Homo sapiens)
TCAL_04923-PA,Similar to UTP4 U3 small nucleolar RNA-associated protein 4 homolog (Homo sapiens)
TCAL_01654-PA,Similar to UTY Histone demethylase UTY (Homo sapiens)
TCAL_02682-PA,Similar to vha-17 V-type proton ATPase subunit e (Caenorhabditis elegans)
TCAL_16610-PA,Similar to vps25 Vacuolar protein-sorting-associated protein 25 (Xenopus laevis)
TCAL_02826-PA,Similar to wscd1 WSC domain-containing protein 1 (Xenopus tropicalis)
TCAL_07795-PA,Similar to wscd1 WSC domain-containing protein 1 (Xenopus tropicalis)
TCAL_14670-PA,Similar to Zbed4 Zinc finger BED domain-containing protein 4 (Mus musculus)
TCAL_11562-PA,Similar to ZMYM3 Zinc finger MYM-type protein 3 (Homo sapiens)
TCAL_10662-PA,Similar to znf346 Zinc finger protein 346 (Xenopus laevis)
TCAL_06980-PA,Similar to AAEL000149 Histone deacetylase complex subunit SAP30 homolog (Aedes aegypti)
TCAL_17344-PA,Similar to apf2 Apicidin F cluster transcription factor apf2 (Gibberella fujikuroi (strain CBS 195.34 / IMI 58289 / NRRL A-6831))
TCAL_12036-PA,Similar to armt1 Protein-glutamate O-methyltransferase (Danio rerio)
TCAL_00026-PA,Similar to atgl-1 Patanin-like phospholipase domain-containing protein (Caenorhabditis elegans)
TCAL_04991-PA,"Similar to Atpif1 ATPase inhibitor, mitochondrial (Rattus norvegicus)"
TCAL_08080-PA,Similar to b9d1 B9 domain-containing protein 1 (Xenopus tropicalis)
TCAL_07380-PA,Similar to baf Barrier-to-autointegration factor (Drosophila melanogaster)
TCAL_10882-PA,Similar to BET1 BET1 homolog (Homo sapiens)
TCAL_12871-PA,Similar to brcc3 Lys-63-specific deubiquitinase BRCC36 (Salmo salar)
TCAL_00157-PA,Similar to C33A12.1 Probable NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5 (Caenorhabditis elegans)
TCAL_07978-PA,Similar to CBFA2T3 Protein CBFA2T3 (Homo sapiens)
TCAL_04628-PA,Similar to CG12084 Protein zer-1 homolog (Drosophila melanogaster)
TCAL_00603-PA,Similar to CG2811 Putative gamma-glutamylcyclotransferase CG2811 (Drosophila melanogaster)
TCAL_03432-PA,Similar to CG31712 UPF0430 protein CG31712 (Drosophila melanogaster)
TCAL_00180-PA,Similar to CG40228 Transcription elongation factor 1 homolog (Drosophila melanogaster)
TCAL_08293-PA,Similar to CLCA1 Calcium-activated chloride channel regulator 1 (Equus caballus)
TCAL_07427-PA,Similar to CLCA1 Calcium-activated chloride channel regulator 1 (Sus scrofa)
TCAL_12265-PA,Similar to CLCA4 Calcium-activated chloride channel regulator 4 (Homo sapiens)
TCAL_13231-PA,Similar to D6Wsu163e Protein C12orf4 homolog (Mus musculus)
TCAL_04641-PA,Similar to daf-36 Cholesterol 7-desaturase (Caenorhabditis elegans)
TCAL_03748-PA,Similar to DCP2 m7GpppN-mRNA hydrolase (Pongo abelii)
TCAL_04638-PA,"Similar to DDAH1 N(G),N(G)-dimethylarginine dimethylaminohydrolase 1 (Homo sapiens)"
TCAL_10103-PA,"Similar to DDAH1 N(G),N(G)-dimethylarginine dimethylaminohydrolase 1 (Homo sapiens)"
TCAL_08151-PA,Similar to DDHD1 Phospholipase DDHD1 (Bos taurus)
TCAL_10981-PA,"Similar to DNAH12 Dynein heavy chain 12, axonemal (Homo sapiens)"
TCAL_08484-PA,"Similar to dnc cAMP-specific 3',5'-cyclic phosphodiesterase, isoforms N/G (Drosophila melanogaster)"
TCAL_11829-PA,Similar to DOPEY1 Protein dopey-1 (Homo sapiens)
TCAL_05829-PA,Similar to dos Protein daughter of sevenless (Drosophila melanogaster)
TCAL_14524-PA,Similar to drk Protein E(sev)2B (Drosophila simulans)
TCAL_09794-PA,Similar to elp4 Elongator complex protein 4 (Xenopus laevis)
TCAL_00070-PA,Similar to emc3 ER membrane protein complex subunit 3 (Danio rerio)
TCAL_11662-PA,Similar to ERI2 ERI1 exoribonuclease 2 (Homo sapiens)
TCAL_16794-PA,Similar to ESCO1 N-acetyltransferase ESCO1 (Homo sapiens)
TCAL_00413-PA,Similar to Exoc6b Exocyst complex component 6B (Mus musculus)
TCAL_05140-PA,Similar to Exoc8 Exocyst complex component 8 (Mus musculus)
TCAL_12400-PA,"Similar to Exog Nuclease EXOG, mitochondrial (Mus musculus)"
TCAL_07250-PA,Similar to F13E6.1 Uncharacterized protein F13E6.1 (Caenorhabditis elegans)
TCAL_00613-PA,Similar to FAF1 FAS-associated factor 1 (Homo sapiens)
TCAL_09931-PA,Similar to FAIM Fas apoptotic inhibitory molecule 1 (Bos taurus)
TCAL_08200-PA,Similar to FAM210A Protein FAM210A (Gallus gallus)
TCAL_09031-PA,Similar to FAM213B Prostamide/prostaglandin F synthase (Homo sapiens)
TCAL_09672-PA,Similar to FAM214A Protein FAM214A (Gallus gallus)
TCAL_00139-PA,Similar to fam46c Protein FAM46C (Danio rerio)
TCAL_08729-PA,Similar to FR FMRFamide receptor (Drosophila melanogaster)
TCAL_11237-PA,Similar to GA19395 PITH domain-containing protein GA19395 (Drosophila pseudoobscura pseudoobscura)
TCAL_03463-PA,Similar to GA20843 LMBR1 domain-containing protein 2 homolog (Drosophila pseudoobscura pseudoobscura)
TCAL_00755-PA,Similar to GILT1 GILT-like protein 1 (Drosophila melanogaster)
TCAL_09915-PA,Similar to GOSR1 Golgi SNAP receptor complex member 1 (Bos taurus)
TCAL_02818-PA,Similar to GPCPD1 Glycerophosphocholine phosphodiesterase GPCPD1 (Homo sapiens)
TCAL_14460-PA,"Similar to Grin1 Glutamate receptor ionotropic, NMDA 1 (Mus musculus)"
TCAL_15732-PA,"Similar to Grin1 Glutamate receptor ionotropic, NMDA 1 (Rattus norvegicus)"
TCAL_05110-PA,Similar to gss Glutathione synthetase (Xenopus laevis)
TCAL_10082-PA,Similar to GTF2H4 General transcription factor IIH subunit 4 (Pan troglodytes)
TCAL_08373-PA,Similar to HCCS Cytochrome c-type heme lyase (Bos taurus)
TCAL_08092-PA,Similar to Hgsnat Heparan-alpha-glucosaminide N-acetyltransferase (Mus musculus)
TCAL_02775-PA,Similar to HOMER2 Homer protein homolog 2 (Homo sapiens)
TCAL_08985-PA,Similar to Icmt Protein-S-isoprenylcysteine O-methyltransferase (Mus musculus)
TCAL_07933-PA,Similar to Inx2 Innexin inx2 (Drosophila melanogaster)
TCAL_05787-PA,Similar to LCP1 Larval cuticle protein 1 (Helicoverpa armigera)
TCAL_06320-PA,Similar to Leo1 RNA polymerase-associated protein LEO1 (Rattus norvegicus)
TCAL_06542-PA,Similar to LHFPL4 Lipoma HMGIC fusion partner-like 4 protein (Bos taurus)
TCAL_05840-PA,Similar to Lmbr1l Protein LMBR1L (Mus musculus)
TCAL_04157-PA,Similar to lnpb Protein lunapark-B (Danio rerio)
TCAL_08683-PA,Similar to LRRC29 Leucine-rich repeat-containing protein 29 (Homo sapiens)
TCAL_01977-PA,Similar to LSM12 Protein LSM12 homolog (Pongo abelii)
TCAL_09249-PA,Similar to ltaA L-allo-threonine aldolase (Aeromonas jandaei)
TCAL_05097-PA,Similar to LUC7L Putative RNA-binding protein Luc7-like 1 (Homo sapiens)
TCAL_10386-PA,Similar to LUC7L3 Luc7-like protein 3 (Pongo abelii)
TCAL_04416-PA,Similar to Malsu1 Mitochondrial assembly of ribosomal large subunit protein 1 (Mus musculus)
TCAL_04836-PA,Similar to MDC1 Mediator of DNA damage checkpoint protein 1 (Sus scrofa)
TCAL_10091-PA,Similar to Mecp2 Methyl-CpG-binding protein 2 (Rattus norvegicus)
TCAL_00427-PA,Similar to MED18 Mediator of RNA polymerase II transcription subunit 18 (Aedes aegypti)
TCAL_02731-PA,Similar to MED25 Mediator of RNA polymerase II transcription subunit 25 (Drosophila melanogaster)
TCAL_07212-PA,Similar to MED4 Mediator of RNA polymerase II transcription subunit 4 (Anopheles gambiae)
TCAL_07200-PA,Similar to Meis3 Homeobox protein Meis3 (Mus musculus)
TCAL_09073-PA,Similar to mfsd4b Sodium-dependent glucose transporter 1 (Danio rerio)
TCAL_09924-PA,Similar to mfsd4b Sodium-dependent glucose transporter 1 (Danio rerio)
TCAL_11084-PA,Similar to MINDY2 Ubiquitin carboxyl-terminal hydrolase MINDY-2 (Homo sapiens)
TCAL_01919-PA,Similar to MINPP1 Multiple inositol polyphosphate phosphatase 1 (Gallus gallus)
TCAL_10187-PA,Similar to MMD Monocyte to macrophage differentiation factor (Homo sapiens)
TCAL_11669-PA,Similar to mmgt1 Membrane magnesium transporter 1 (Danio rerio)
TCAL_03700-PA,"Similar to msta Protein msta, isoform A (Drosophila melanogaster)"
TCAL_07921-PA,"Similar to msta Protein msta, isoform B (Drosophila melanogaster)"
TCAL_13240-PA,Similar to mth2 G-protein coupled receptor Mth2 (Drosophila yakuba)
TCAL_04042-PA,Similar to mthl1 Probable G-protein coupled receptor Mth-like 1 (Drosophila melanogaster)
TCAL_06657-PA,Similar to myt1 Myelin transcription factor 1 (Xenopus laevis)
TCAL_02166-PA,Similar to N4BP2L1 NEDD4-binding protein 2-like 1 (Homo sapiens)
TCAL_00849-PA,"Similar to Ndufs4 NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial (Rattus norvegicus)"
TCAL_12879-PA,Similar to nfxl1 NF-X1-type zinc finger protein NFXL1 (Xenopus laevis)
TCAL_04398-PA,Similar to NHLRC2 NHL repeat-containing protein 2 (Gallus gallus)
TCAL_08213-PA,Similar to nip7 60S ribosome subunit biogenesis protein NIP7 homolog (Xenopus tropicalis)
TCAL_03278-PA,Similar to Nipsnap Protein NipSnap (Drosophila melanogaster)
TCAL_12274-PA,Similar to ORC4 Origin recognition complex subunit 4 (Homo sapiens)
TCAL_10408-PA,Similar to Pafah1b2 Platelet-activating factor acetylhydrolase IB subunit beta (Rattus norvegicus)
TCAL_01144-PA,Similar to PCNX1 Pecanex-like protein 1 (Homo sapiens)
TCAL_12639-PA,Similar to Pcnx4 Pecanex-like protein 4 (Mus musculus)
TCAL_01890-PA,Similar to pcs SH3 domain-binding protein 5 homolog (Drosophila melanogaster)
TCAL_10333-PA,Similar to Pex12 Peroxisome assembly protein 12 (Mus musculus)
TCAL_00440-PA,Similar to phospho1 Probable phosphatase phospho1 (Danio rerio)
TCAL_11536-PA,Similar to phospho2 Probable phosphatase phospho2 (Xenopus tropicalis)
TCAL_10328-PA,Similar to PHYHD1 Phytanoyl-CoA dioxygenase domain-containing protein 1 (Homo sapiens)
TCAL_07558-PA,Similar to Pigl N-acetylglucosaminyl-phosphatidylinositol de-N-acetylase (Mus musculus)
TCAL_16130-PA,Similar to PLA2G7 Platelet-activating factor acetylhydrolase (Homo sapiens)
TCAL_12198-PA,Similar to Plscr1 Phospholipid scramblase 1 (Mus musculus)
TCAL_01576-PA,Similar to Plscr2 Phospholipid scramblase 2 (Mus musculus)
TCAL_12028-PA,Similar to Plscr2 Phospholipid scramblase 2 (Mus musculus)
TCAL_05827-PA,Similar to Pnpla2 Patatin-like phospholipase domain-containing protein 2 (Mus musculus)
TCAL_13302-PA,Similar to PRKAB2 5'-AMP-activated protein kinase subunit beta-2 (Homo sapiens)
TCAL_14792-PA,Similar to Prkci Protein kinase C iota type (Rattus norvegicus)
TCAL_01649-PA,Similar to PRKCSH Glucosidase 2 subunit beta (Bos taurus)
TCAL_00480-PA,Similar to Pura Transcriptional activator protein Pur-alpha (Mus musculus)
TCAL_11977-PA,Similar to qvr Protein quiver (Drosophila mojavensis)
TCAL_13515-PA,Similar to qvr Protein quiver (Drosophila virilis)
TCAL_04860-PA,Similar to RABAC1 Prenylated Rab acceptor protein 1 (Homo sapiens)
TCAL_04323-PA,Similar to rasgef1ba Ras-GEF domain-containing family member 1B-A (Danio rerio)
TCAL_06672-PA,Similar to Rbm28 RNA-binding protein 28 (Mus musculus)
TCAL_11913-PA,Similar to rft1 Protein RFT1 homolog (Xenopus tropicalis)
TCAL_03087-PA,Similar to ropn1l Ropporin-1-like protein (Xenopus laevis)
TCAL_02092-PA,Similar to RPAP2 Putative RNA polymerase II subunit B1 CTD phosphatase RPAP2 (Bos taurus)
TCAL_12857-PA,Similar to RPS6KA5 Ribosomal protein S6 kinase alpha-5 (Pongo abelii)
TCAL_06343-PA,Similar to RS2Z33 Serine/arginine-rich splicing factor RS2Z33 (Arabidopsis thaliana)
TCAL_06646-PA,Similar to run Segmentation protein Runt (Drosophila melanogaster)
TCAL_13744-PA,Similar to RUNX3 Runt-related transcription factor 3 (Homo sapiens)
TCAL_05358-PA,Similar to SEC62 Translocation protein SEC62 (Pongo abelii)
TCAL_04393-PA,Similar to SGR_5809 Aminopeptidase S (Streptomyces griseus subsp. griseus (strain JCM 4626 / NBRC 13350))
TCAL_04158-PA,Similar to SH3BP5L SH3 domain-binding protein 5-like (Bos taurus)
TCAL_15764-PA,Similar to Shroom2 Protein Shroom2 (Rattus norvegicus)
TCAL_05850-PA,Similar to SHROOM3 Protein Shroom3 (Homo sapiens)
TCAL_11856-PA,Similar to SLC16A14 Monocarboxylate transporter 14 (Homo sapiens)
TCAL_04103-PA,Similar to Slc33a1 Acetyl-coenzyme A transporter 1 (Rattus norvegicus)
TCAL_00011-PA,Similar to SLMAP Sarcolemmal membrane-associated protein (Oryctolagus cuniculus)
TCAL_03434-PA,Similar to SNX24 Sorting nexin-24 (Homo sapiens)
TCAL_07282-PA,Similar to spcs2 Probable signal peptidase complex subunit 2 (Danio rerio)
TCAL_04036-PA,Similar to Sphk1 Sphingosine kinase 1 (Rattus norvegicus)
TCAL_01936-PA,Similar to Sra-1 Cytoplasmic FMR1-interacting protein (Drosophila melanogaster)
TCAL_01735-PA,Similar to Srsf4 Serine/arginine-rich splicing factor 4 (Mus musculus)
TCAL_14737-PA,Similar to STAG2 Cohesin subunit SA-2 (Homo sapiens)
TCAL_05113-PA,Similar to stc Protein shuttle craft (Drosophila melanogaster)
TCAL_14442-PA,Similar to SUB1 RNA polymerase II transcriptional coactivator SUB1 (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))
TCAL_05762-PA,Similar to Surf4 Surfeit locus protein 4 homolog (Drosophila melanogaster)
